n_tombo;ano_edicao;classificacao;titulo_livro;autor;volume;assunto
0030/17 - 0195/18;2012;813 / S 736p;Um porto seguro;Sparks_ Nicholas;2;Literatura Americana - Ficção
0225/22;2010;813 / S 736r;Um Refúgio Para A Vida;Sparks_ Nicholas;1;Literatura Americana - Ficção
0458/16;2014;813 / S 736u;Uma carta de amor;Sparks_ Nicholas;1;Literatura Americana - Ficção
0458/16;2014;813 / S 736u;Uma carta de amor;Sparks_ Nicholas;1;Literatura Americana - Ficção
0217/18;2013;813 / S 736c;Uma curva na estrada;Sparks_ Nicholas;1;Literatura Americana - Ficção
0092/22;2007;813 / Sp 736e;Uma escolha por amor;Sparks_ Nicholas;1;Literatura Americana - Ficção
0140/17 - 0312/17;2013;813 / S 736u;Uma longa jornada;Sparks_ Nicholas;2;Ficção Americana
0129/23;1999;813 / S 736m;Um momento inesquecível;Sparks_ Nicholas;1;Literatura Americana - Ficção
6447;1959;820 / Sp 737c;Crimes em Desfile;Sparrow_ Gerald ;1;Literatura  Inglesa
329/76;1970;390 / Sp 737d;A Dança do Orixás;Sparta_ Francisco ;1;Folclore – Relíquias Brasileiras Afro-Ásia-Pré-Bíblica
10664;1970;181.45 / Sp 738y;Yoga – Caminhos da libertação;Spath_ I. M. ;1;Yoga
222/88;c. 1977;92 / Sp 842s;Spandau – O diário secreto;Speer_ Albert ;1;Segunda Guerra Mundial_ 1939-1945
644/79;1977;300 / Sp 743p;Os próximos vinte e cinco anos;Spekke_ Andrew A. ;1;Sociologia
702/79;s.d.;R 745 / Sp 743s;Styles of Ormament;Speltz_ Alexander ;1;Decoração e Ornamentos
2194/90;c. 1979;813 / Sp 848a;Amor sem fim;Spencer_ Scott;1;Literatura Americana – Romance
1079/75;1975;R 370 / B 582p;Problemas Gerais de Currículo;Sperb_ Dalilla C. ;1;Currículo
133/93;1963;J 028.5 / Sp 851a;A Selva;Sperry_ Armstrong ;1;Literatura Juvenil
844/83 – 261/77 – 262/77 – 263/77;1964;J 028.5 / Sp 851a;Artico e Antártico;Sperry_ Armstrong ;4;Literatura Juvenil
2135/90;c. 1989;813 / Sp 752n;Nuke Hill;Spetz_ Steven;1;Literatura Americana 
0403/06;1995;530 / S 741s;Seis Caminhos a Partir de Newton: as grandes descobertas na física;Speyer_ Edward;1;Física - História
508/81;1973;R 517.8 / Sp 755v;Variáveis Complexas. Resumo da Teoria – 379 Problemas Resolvidos_ 973 Problemas Propostos;Spiegel_ Murray Ralph ;1;1-Funções de Variáveis Complexas /2-Transformações conformes
500/81;1976;R 515 / Sp 755a;Análise de Fourier;Spiegel_ Murray Ralph ;1;1-Contorno – Problemas de Valores / 2-Polinômios Ortogonais
513/81;1975;R 517 / Sp 755t;Transformadas de Laplace. Resumo da Teoria – 263 Problemas Resolvidos_ 614 Problemas Prospostos;Spiegel_ Murray Ralph ;1;Laplace – Transformadas de 2. Cálculos
514/81;1972;R 311 / Sp 755e;Estatística Resumo da teoria - 875 problemas resolvidos - 619 problemas propostos;Spiegel_ Murray Ralph ;1;Estatística
503/81;1971;R 512 / Sp 755a;Álgebra Superior;Spiegel_ Murray Ralph ;1;Álgebra  
501/81;1975;R 516.83 / Sp 755a;Análise Vetorial;Spiegel_ Murray Ralph ;1;Análise Vetorial
875/90;1977;808.3 / Sp 755c;Contatos Imediatos do Terceiro Grau;Spielberg_ Steven ;1;Ficção Científica
0339/17;2005;904 / S 755c;As 100 maiores catástofres da história;Spignesi_ Stephen J.;1;Desastres / Catástrofes Naturais
54/90;1986;335 / Sp 757q;O que é Comunismo ;Spindel_ Arnaldo ;1;Comunismo
1162/96;1985;335 / Sp 757q;O que é Comunismo. O que é filosofia ;Spindel_ Arnaldo ;1;1-Comunismo /2-Filosofia
494/80;c. 1974;946.9 / Sp 758p;Portugal  e o futuro;Spinola_ Antonio de;1;História - Portugal
1036/76 – 1093/89;1957;170 / Sp 758e;Ética;Spinoza;2;Filosofia
0282/08;2002;170 / S 758e;Ética: demonstrada à maneira dos geômetras;Spinoza_ Baruch de;1;Ética - Spinoza
444/90;s.d.;199.4 / Sp 758t;Tratado Político;Spinoza_ Benedictus de ;1;Filosofia Alemã
1095/89;1979;199.4 / Sp 758p;Pensamentos Metafísicos. Tratado da Correção do Intelecto. Ética. Tratado Político. Correspondência;Spinoza_ Benedictus de ;1;1-Correspondência /2-Ética /3-Filosofia Alemã
87/74 – 460/83;1971;890 / Sp 761p;Prometeu e Epimeteu;Spitteler_ Carl ;2;Literatura Suiça
