n_tombo;ano_edicao;classificacao;titulo_livro;autor;volume;assunto
10536;1944;890 / H 324g;Galileu Galilei;Harsanyi_ Zsolt ;1;Literatura Húngara
094/93;1988;813 / H 325e;As Estratégias de Zeus;Hart_ Gary;1;Literatura Americana – Romance
577/75;1965;301.15 / H 325c;Condicionamento Pessoal;Hart_ Hornell ;1;Psicologia social
0555/99;1993;823 / H 325p;Perdas e danos;Hart_ Josephine;1;Literatura Inglesa - Romance
0215/17;2011;920 / H 326c;As 100 maiores personalidades da história;Hart_ Michael H.;1;Biografia
191/92;1972;575.1 / H 333a;Ação gênica;Hartman_ Philip Emile ;1;1-Genética Molecular /2-Hereditariedade /3-Proteínas
0867/99;1984;923 / V 297h;Getúlio Vargas;Hartmann_ Ivar ;1;Vargas_ Getúlio
439/89;1988;J 028.5 / H 333n;Não olhe agora;Hartmut_ Walter N. T.;1;Literatura Juvenil
1868;1941;558 / H 335g;Geologia e Geografia Física do Brasil;Hartt_ Charles Frederick ;1;Geologia - Brasil
104/87;1980;301 / H 339j;A Justiça social e a cidade;Harvey_ David;1;Mudança Social
1005/03;1993;R 001.64 / H 341e;Excel 4 para leigos;Harvey_ Greg.;1;Informações – computador
736/85;1967;833 / H 347a;Aventura do Bravo Soldado Schweik;Hasek_ Jaroslav ;1;Literatura Alemã - Romance
1047;1947;504 / H 352m;Mistérios da Ciências;Haslett_ Arthur Woods ;1;Ciência
0656/95;1966;940.5 / H 355m;Monte Cassino;Hassel_ Sven ;1;Segunda Guerra Mundial -1939-1945
186/84;1965;922 / J 62h;João XXIII. O Papa Inesquecível;Hatch_ Alden ;1;João XXIII – Papa - Biografia 
623/23;s.d;616.8527 / M 368v;Vencendo a Depressão: Por que ela corre;Hauck_ Paul;1;Auto ajuda
768/89;1987;J 028.5 / H 369h;A História do navio mal-assombrado;Hauff_ Wilhelm;1;Literatura Juvenil
769/89;1987;J 028.5 / H 369c;A caravana e a história do califa-cegonha;Hauff_ Wilhelm;1;Literatura Infanto Juvenil
0767/89;1987;J 028.5 / H 369h;A história da mão decepada;Hauff_ Wilhelm;1;Literatura Infanto Juvenil
81/74 – 454/83;1973;833 / H 374h;O Herege de Soana;Hauptmann_ Gerhart ;2;Literatura Alemã - Romance
79/80 – 80/80;1972;R 709 / H 376h;História Social da Literatura e da Arte;Hauser_ Arnold ;2;Arte- História Social
;c. 1976;823 / H 848a;Areias Movediças;Hawatch_ Susan ;2;Literatura  Inglesa – Romance
;c. 1980;823 / H 848p;Os pecados dos pais;Hawatch_ Susan ;1;Literatura  Inglesa – Romance
;1977;823 / H 848r;Os Ricos são Diferentes;Hawatch_ Susan ;1;Literatura  Inglesa – Romance
;1984;823 / H 848r;A roda da fortuna;Hawatch_ Susan ;1;Literatura  Inglesa – Romance
;s.d.;823 / H 848t;Telefonema na noite;Hawatch_ Susan ;1;Literatura  Inglesa – Romance
;1974;823 / H 848s;Os senhores de Cashelmara;Hawatch_ Susan ;2;Literatura  Inglesa – Romance
0632/02;1975;813 / H 392m;A morte_ o sono e o viajante;Hawkes_ John;1;Liteatura Americana - Romance
0167/22;2014;925.3 / H393t;A Teoria De Tudo;Hawking_ Jane;1;Biografia
385/19;2002;530.12 / H393u;O univreso numa casca de noz;Hawking_ Stephen;1;Física Quántica
386/19;2016;530.12 / H393u;O univreso numa casca de noz;Hawking_ Stephen;1;Física Quántica
0705/08;1988;523.1 / H 392B;Uma breve história do tempo: do Big Bang aos buracos negros;Hawking_ Stephen William;1;1- Tempo - Obras Populares /2- Espaço e Tempo - Obras Populares /3- Cosmologia
1475/90;1975;813 / H 396a;Amores de um Milionário;Hawley_ Cameron ;1;Literatura Americana – Romance
7068;1964;813 / H 399h;Histórias de Nathaniel Hawthorne;Hawthorne_ Nathaniel ;1;Literatura Americana – Romance
0027/91;s.d.;813 / H 399c;A Casa das Sete Torres;Hawthorne_ Nathaniel ;1;Literatura Americana – Romance
231/75 – 484/77;1966;813 / H 399L;A Letra Escarlate;Hawthorne_ Nathaniel ;2;Literatura Americana – Romance
0218/04;s.d.;615.851 / H 412v;Você pode curar sua vida: como despertar idéias positivas_ superar doenças e viver plenamente;Hay_ Louse L.;1;Psicanálise
1665/90;1986;332.4 / H 417d;Desestatização do Dinheiro;Hayek_ Friedrich Augusto ;1;1-Moeda – Desestatização /2-Questão Monetária
0231/01;1991;J 028.5 / H 417c;Conheça a orquestra;Hayes_ Ann;1;Literatura Infanto Juvenil
0243/13;2004;808.899282/ H 417t;Tempo de crescer ou coisa assim;Hayes_ Daniel;1;Literatura Juvenil
792/79;1977;300 / H 417r;Raios de Esperança. A Transição para o Mundo Pós-Petróleo;Hayes_ Denis ;1;Energia – Um Mundo Pós-Petróleo
071/95;1987;823 / H 418s;Segredos;Hayes_ Mary - Rose;1;Literatura Inglesa - Romance
0605/99;1994;181.45 / H 418a;A Aventura Suprema;Hayes_ Peter ;1;Ioga
0305/22;2015;823 / H 417a;Até você ser minha;Hayes_ Samantha;1;Literatura Inglesa
1091/76;1968;612.6 / H 418s;O Sexo Perigoso;Hays_ H. R. ;1;Sexo – Mito da maldade feminina
340/73;1970;133.93 / H 431m;A Mensagem Sufi – II                        ;Hazrat_ Inayat   Khan ;1;Espiritualismo - Mensagem
10469;1970;133.93 / H 431m;A Mensagem Sufi               ;Hazrat_ Inayat   Khan ;1;Espiritualismo - Mensagem
198/75;1970;133.93 / H 431m;A Mensagem Sufi – III                        ;Hazrat_ Inayat   Khan ;1;Espiritualismo - Mensagem
720/92;1984;813 / H 431t;O Trânsito de Vênus;Hazzard_ Shirley ;1;Literatura Americana – Romance
378/74;1973;620 / H 434m;O Mundo do Engenheiro;Heald_ Henry T. (org. de);1;1-Engenharia Oceânica /2-Ensino Engenharia - Progresso /3-Comunicações Via Satélite
155/77;s.d.;823 / H 436f;As faces do amor;Hearne_ John;1;Literatura  Inglesa
0231/22;2014;B 869.93 / H 449L;O Lado bom de ser traída;Hecker_ Sue;1;Literatura Brasileira
0085/97;1974;909.07 / H 459h;História Medieval;Heers_ Jacques ;1;Idade Média - História
1099/89;1985;193 / H 462f;"Fenomenologia do Espírito_ Estética: a Idéia e o Ideal; Estética: o Belo Artístico ou o Ideal; Introdução a História da Filosofia";Hegel_ Gerg Wilhelm Friedrich ;1;1-Estética: O Belo Artístico ou o Ideal /2-Fenomenologia /3-Filosofia - História
279/82;1966;164 / H 462L;Lógica Simbólica;Hegenberg_ Leônidas ;1;Lógica Simbólica e Matemática
296/79;1976;501 / H 462e;Etapas da Investigação Científica;Hegenberg_ Leônidas ;1;Ciência - Filosofia_ Metodologia e Teoria
587/87;1973;164 / H 462L;Lógica: o Cálculo Sentencial;Hegenberg_ Leônidas ;1;1-Cálculo Sentencial /2-Lógica Simbólica e Matemática
518/81;1973;R 164 / H 462L;Lógica: o Cálculo Sentencial;Hegenberg_ Leônidas ;1;Lógica Simbólica e Matemática
0301/04;1977;160 / H 462L;Lógica  ;Hegenberg_ Leônidas ;1;Lógica  
0625/03;1981;R 150.19 / H 465p;Psicologia do século XX;Heidbreder_ Edna;1;Psicologia
1103/89;1984;193 / H 465c;Conferências e Escritos Filosóficos;Heidegger_ Martin ;1;1-Fenomenologia /2-Filosofia Alemã
223/90;1978;111.8 / H 465i;Introdução à metafísica;Heidegger_ Martin ;1;Metafísica
457/83 – 84/74 – 0631/04;1971;890 / H 465c;Os Carolinos;Heidenstam_ Verner Von ;3;Literatura Sueca
1361/86;1979; 330 / H 466f;A Formação da Sociedade Econômica;Heilbroner_ Robert L. ;1;Economia
669/84;1975;R 330 / H 466f;A Formação da Sociedade Econômica;Heilbroner_ Robert L. ;1;Economia
1541/86;1969;330 / H 466i;Introdução à História das Idéias Econômicas ( Grandes Economistas );Heilbroner_ Robert L. ;1;Economia – História das Idéias Econômicas
0194/16 - 0195/16;2005;813 / H 466p;Prova Fatal;Heilbrun_ Robert;2;Ficção Americana
711/79;1949;R 730 / H 466e;La Escultura Moderna y  Contemporánea ;Heilmeyer_ A. ;1;Escultura Moderna e Contemporânea
1268/95;1991;233.1 / H 468m;Memórias e Visões do Paraíso: Explorando o Mito Universal de uma Idade de Ouro Perdida;Heinberg_ Richard ;1;Paraíso
0147/01;1994;J 028.5 / H 468a;Amigos;Heine_ Helme;1;Literatura Infanto Juvenil
0294/04;1983;190 / H 468f;A Filosofia do Século XX;Heinemann_ Fritz;1;Filosofia  
879/84;1957;808.3 / H 468c;Cidadão da Galáxia;Heinlein_ Robert A. ;1;Ficção Científica
1031/99;1991;808.3 / H 468fr;Friday: A Mulher do Futuro;Heinlein_ Robert A. ;1;Ficção Científica
1358/86;1970;808.3 / H 468n;Não Temerei Nenhum Mal;Heinlein_ Robert A. ;1;Ficção Científica
775/90;1954;808.3 / H 468m;O Monstro do Espaço;Heinlein_ Robert A. ;1;Ficção Científica
776/90;1949;808.3 / H 468p;O Planeta Vermelho;Heinlein_ Robert A. ;1;Ficção Científica
770/90;1958;808.3 / H 468f;Os Filhos de Matusalém;Heinlein_ Robert A. ;1;Ficção Científica
0338/03;1992;813 / H 468e;Um Estranho numa Terra Estranha;Heinlein_ Robert A. ;1;Literatura Americana - Ficção
696/90;1961;808.3 / H 468e;Um Estranho numa Terra Estranha;Heinlein_ Robert A. ;1;Ficção Científica
0078/98;1997;796.334 / H 473j;O Jogo Bruto das Copas do Mundo;Heizer_ H. Teixeira ;1;1-Copa do Mundo /2-Futebol
130/87;1985;869.909 / H 474e;Escrita e Poder;Helena_ Lucia ;1;Literatura Brasileira –  História e Crítica
459/82;1982;869.909 / H 474L;Uma Literatura Antropofágica;Helena_ Lucia ;1;Literatura Brasileira –  História e Crítica
0341/02;1989;J 028.5 / H 474c;A Casa do some-some;Heleno_ Guido;1;Literatura Juvenil
479/92 – 478/92 – 477/92;1989;J 028.5 / H 474p;Príncipe Maurício de Nassau;Heleno_ Guido e outro;3;Literatura Infanto Juvenil
538/75;1974;301.3 / H 475c;A Crise Ambiental;Helfrich Jr._ Harold W.  (coord.);1;1-Conservação dos Recursos Naturais  /2-Ecologia Humana/3-Homem – Influência da Natureza
584/90;1974;813 / H 477a;Alguma Coisa Mudou;Heller_ Joseph ;1;Literatura Americana – Romance
388/80;s.d.;813 / H 477a;Ardil 22;Heller_ Joseph ;1;Literatura Americana – Romance
879/86;1979;813 / H 477g;Gold Vale Ouro;Heller_ Joseph ;1;Literatura Americana – Romance
469/77 – 568/82;1967;813 / H 477g;Guerra é Guerra;Heller_ Joseph ;2;1-Literatura Americana – Romance /2-Guerra_ Aventuras e Espionagem
622/92;1987;813 / H 477n;Não é Caso pra Rir;Heller_ Joseph ;1;Literatura Americana – Romance
0195/19;2006;823 / H 477a;Anotações sobre um escândalo;Heller_ Zoe;1;Ficção Inglesa
470/79;1977;387 / H 477t;Os Transportes no mundo do futuro;Hellman_ Hal;1;Transportes
486/92;1980;818 / H 477p;Pentimento um Livro de Retratos;Hellman_ Lillian ;1;Escritores Americanos - Biografia
0247/98 – 0510/98;1991;J 028.5 / H 482m;Manchinha: a beleza ingênua;Helô;2;Literatura Infanto Juvenil
0162/01;1992;J 028.5 / H 482f;O flautista de Hamelin;Helô;1;Literatura Infanto Juvenil
521/02;1994;J 028.5 / H 474b;Batman: o crime perfeito;Helper_ Andrew;1;Literatura Infanto Juvenil
118/74 – 169/80 – 307/82 – 941/83;1971;813 / H 487a;Adeus às Armas;Hemingway_ Ernest ;4;Literatura Americana – Romance
0524/06;1970;813 / H 487a;Adeus às armas;Hemingway_ Ernest ;1;Literatura Americana – Romance
817/75 – 307/82;1961;813 / H 487a;Adeus às armas;Hemingway_ Ernest ;2;Literatura Americana – Romance
604/89 – 0481/02;c. 1973;813 / H 487a;As Aventuras de Nick Adams;Hemingway_ Ernest ;2;Literatura Americana - Contos
420/73 / 0447/97;1970;813/  H 487i;As Ilhas da Corrente;Hemingway_ Ernest ;2;Literatura Americana – Romance
363/19;1984;813/  H 487a;As Ilhas da Corrente;Hemingway_ Ernest ;1;Romance Estadunidime
422/73 – 830/84;1969;813 / H 487c;Contos;Hemingway_ Ernest ;2;Literatura Americana – Romance
0345/97;1989;813 / H 487j;O Jardim do Éden;Hemingway_ Ernest ;1;Literatura Americana – Romance
0819/97;1987;813 / H 487j;O Jardim do Éden;Hemingway_ Ernest ;1;Literatura Americana – Romance
0826/88 – 0320/90 – 1047/96 – 1394/96;1980;813 / H 487s;O Sol Também se Levanta;Hemingway_ Ernest ;4;Literatura Americana – Romance
10210;1971;813 / H 487s;O Sol Também se Levanta;Hemingway_ Ernest ;1;Literatura Americana – Romance
0826/88 - 0320/90;1981;813 / H 487s;O Sol Também se Levanta;Hemingway_ Ernest ;2;Literatura Americana – Romance
0308/06;2003;813 / H 487v;O Velho e o Mar;Hemingway_ Ernest ;1;Literatura Americana - Ficção
0986/96;c. 1980;813 / H 487v;O Velho e o Mar;Hemingway_ Ernest ;1;Literatura Americana – Romance
0476/04;1960;813 / H 487v;O Velho e o Mar;Hemingway_ Ernest ;1;Literatura Americana – Romance
0624/04;1967;813 / H 487v;O Velho e o Mar;Hemingway_ Ernest ;1;1-Literatura Americana – Romance / 2- Romance Americano
0283/08;2005;813 / H 487v;O Velho e o Mar;Hemingway_ Ernest ;1;Literatura Americana – Romance
383/80;c. 1964;928 / H 487p;Paris é uma festa;Hemingway_ Ernest ;1;História - Paris
09/75 – 027/81 – 291/83 – 0482/02 – 0730/03;1969;813 / H 487p;Por Quem os Sinos Dobram;Hemingway_ Ernest ;4;Literatura Americana – Romance
0018/18;2004;813 / H 487p;Por Quem os Sinos Dobram;Hemingway_ Ernest ;1;Literatura Americana – Romance
0332/06;1979;813 / H 487p;Por Quem os Sinos Dobram;Hemingway_ Ernest ;1;Literatura Americana – Romance
675/84;1969;070 / H 487t;Tempo de Viver. Artigos e despachos selecionados ao longo de quatro décadas;Hemingway_ Ernest ;1;Literatura Americana – Romance
0212/22;2000;813 / H488v;Verdade Ao Amanhecer;Hemingway_ Ernest ;1;Literatura Americana – Romance
541/84 – 0493/02 – 0494/02;1983;869.96 / H 499d;Diário de um Cucaracha;Henfil;3;Cartas Brasileiras
0499/99;1993;741.59 / H 499v;A Volta do Fradim : Antologia Histórica;Henfil;1;1-Caricaturas e Desenhos Humoristicos /2-Histórias em Quadrinhos
797/84 – 1661/90;1980;869.94 / H 499h;Henfil na China Antes da Coca-Cola;Henfil;2;Literatura Brasileira - Crônicas
922/86 – 1078/89;1984;869.97 / H 499d;Diretas Já!;Henfil;2;Literatura Brasileira –  Humorismo
394/87;1980;869.96 / H 499c;Cartas da Mãe;Henfil;1;Cartas
3446;1899;R 433 / K 33e;Etymologisches Worterbuch da Língua Alemã;Henge_ Friedrich ;1;Língua Alemã - Dicionários
988/87;1961;869.91 / H 513c;Cantigas do Entardecer;Henke_ Leonardo ;1;Literatura Brasileira - Trovas
619/90;s.d.;940.5 / H 515u;A última rajada;Henn_ Peter ;1;Segunda Guerra Mundial -1939-1945
200/90 – 0762/95 – 1132/90 – 1036/84 – 674/88;1979;150 / H 515q;O Que é Psicologia;Henneman_ Richard H. ;5;Psicologia
 434/91 ;1981;R 574 / H 516b;Biologia Geral : 2º -  Grau;Hennig_ George Joachim ;1;Biologia Geral: 2º grau
0394/04;1981;R 372.3 / H 516b;Biologia Geral : 2º -  Grau;Hennig_ Georg Joaquim & Ferraz_ G.;1;Biologia Geral: 2º grau
451/88 – 705/88;s.d.;981 / H 519a;Ascensão e Queda de Getúlio Vargas;Henriques_ Affonso ;2;1-Brasil - História / 2-Estado Novo / 3- Getúlio Vargas
353/74;1959;940.5 / H 519f;A FEB Doze Anos Depois;Henriques_ Elber de Mello ;1;Brasil – Segunda Guerra Mundial- 1939-1945
0386/96;1984;998 / H 519v;Uma visão da Antártica;Henriques_ Elber de Mello ;1;1-Tratado da Antártida (1959) /2-Pólo Sul
713/90;s.d.;813 / H 521m;Os Melhores Contos de O. Henry;Henry_ O. ;1;1-Literatura Americana - Contos /2-Contos Americanos
272/79;1975;604.2694 / H 535d;Desenho Técnico de Marcenaria ;Herberg_ Hanspeter ;1;1-Desenho Técnico /2- Marcenaria
10371;1962;304 / H 535p;Protestantes Católicos e Judeus;Herberg_ Will;1;Sociologia religiosa norte- americana
0540/02;1985;808.3 / H 536m;O Messias de Duna;Herbert_ Frank ;1;Ficção Científica
468/02;1991;813 / H 536h;As Herdeiras de Duna;Herbert_ Frank ;1;Literatura Americana - Romance
729/90;1984;808.3 / H 536d;Duna;Herbert_ Frank ;1;Ficção Científica
923/90 – 0423/03;1987;808.3 / H 536h;Os Hereges de Duna;Herbert_ Frank ;2;Ficção Científica
914/90;1969;808.3 / H 536m;O Messias de Duna;Herbert_ Frank ;1;Ficção Científica
467/02;1985;813 / H 536f;Os Filhos de Deus;Herbert_ Frank ;1;Literatura Americana - Romance
0846/95;1975;181.45/  H536y;A Yoga do amor;Herbert_ Jean;1;Filosofia Oriental
;s.d.;869.98 / An 163;Antologia Escolar de Contos Brasileiros;Herberto_ Sales_  (org.);4;Contos Brasileiros - Antologia
1053/87 - 0580/97;s.d.;869.98 / An 634;Antologia Escolar de Crônicas. 80 Crônicas Exemplares;Herberto_ Sales_  (org.);2;Contos Brasileiros - Antologia
0372/13;2007;927.46 / H 539c;Cartas de um jovem estilista: a moda como profissão;Herchcovitch_ Alexandre;1;Estilistas - Moda - Brasil
0917/96 – 0671/04 – 0427/05;1985;869.3 / H 539c;Contos de Alexandre Herculano;Herculano_ Alexandre ;3;Literatura Portuguesa - Contos
1187/89 – 369/85;s.d.;869.3 / H 539e;Eurico_ O Presbítero;Herculano_ Alexandre ;2;Literatura Portuguesa - Romance
0009/05;1978;869.3 / H 539e;Eurico_ O Presbítero;Herculano_ Alexandre ;1;Literatura Portuguesa – Romance
0509/04;1965;869.3 / H 539e;Eurico_ O Presbítero;Herculano_ Alexandre ;1;Literatura Portuguesa – Romance
0078/07;1971;869.3 / H 539e;Eurico_ O Presbítero;Herculano_ Alexandre ;1;Literatura Portuguesa – Romance
0211/14;2002;869.3 / H 539e;Eurico_ O Presbítero;Herculano_ Alexandre ;1;Literatura Portuguesa – Romance
831/87;1969;869.3 / H 539h;Histórias Heróicas;Herculano_ Alexandre ;1;Literatura Portuguesa – Históricas
1140/89;s.d.;869.3 / H 539h;Histórias Heróicas;Herculano_ Alexandre ;1;Literatura Portuguesa
6178;1960;869 / H 539L;Lendas e Narrativas;Herculano_ Alexandre ;1;Literatura Portuguesa – Lendas
7732 – 7733 – 0449/05;s.d.;869.3 / H 539L;Lendas e Narrativas;Herculano_ Alexandre ;3;Literatura Portuguesa – Lendas e Narrativas
122/78;1959;863 / H 539b;O Bobo;Herculano_ Alexandre ;1;Literatura Espanhola - Romance   
7744 – 7745;s.d.;869.3 / H 539m;O Monge de Cistér ou a Época de D. João I;Herculano_ Alexandre ;2;Literatura Portuguesa - Romance
0333/13 - 0329/17;2009;612.82 / H 539p;Pílulas de neurociência para uma vida melhor;Herculano-Houzel_ Suzana;2;Neurociências / Cérebro
0776/07 - 0056/08 - 0710/08 - 0711/08 - 0712/08;2000;869.93 / H 541d;Descalabro;Herdy_ Marcos Aurelio;5;Literatura Brasileira - Romance
10452 – 10453;1961;922 / H 542m;Memórias de um Repórter dos Tempos de Cristo ;Heredia_ C. M de ;2;Biografia de Cristo
536/76;1958;133.7 / H 542f;As Fraudes Espíritas e os Fenômenos Metapsíquicos;Heredia_ Carlos Maria de ;1;Espiritismo
48/73;1968;226 / H282q;O que Cristo quer de nós;Hering_ Bernhard;1;Igreja
641/92;1986;813 / H 549p;Perdidos na Noite;Herlihy_ James Leo ;1;Literatura Americana – Romance
0348/97;s.d.;813 / H 549p;Perdidos na Noite;Herlihy_ James Leo ;1;Literatura Americana – Romance
1108/84;1969;133 /H 549m;O Mundo Extra-Sensorial;Herlin_ Hans ;1;1-Ciências Ocultas /2-Ocultismo
0081/20;2008;833 / H587q;Quem Pode Amar É Feliz;Hermann_ Hisse;1;|Literatura Alemâ
626/78;1957;910 / H 568c;A Conquista do Mundo;Hermann_ Paul ;1;Descobrimentos e Explorações
619/78;s.d.;508 / H 568c;A Conquista da Oceania e dos Pólos;Hermann_ Paul ;1;Expedições Científicas
036/86 – 039/79;1975;R 981 / B 732c;Compêndio de História do Brasil;Hermida_ Antonio José Borges ;2;Brasil – História (1º Grau) I
90/79;1970;R 901 / B 732h;Compêndio de História Geral;Hermida_ Antonio José Borges ;1;História Geral - Compêndio
0338/90 – 0822/99;1979;248.3 / H 555c;Canção Universal;Hermógenes;2;Meditação
1219/89;1985;248.4 / H 555d;Deus investe em você;Hermógenes;1;Vida Cristã
1040/90;1979;172.1 / H 555j;Juventude verdade: educação moral e cívica 2º grau;Hermógenes;1;Educação Moral e Cívica
169/84;s.d.;181.45 / H 555m;Mergulho na Paz;Hermógenes;1;1-Yoga - Meditação
0895/08;1996;6_130_438;Saúde na terceira idade;Hermógenes;1;Idosos - programas de saúde
0686/08;1992;6_137_046;Saúde plena: yogaterapia;Hermógenes;1;Yoga - uso terapêutico
1020/90;1982;291.4 / H 555s;Superação: Sofrimento e Morte  nos Desafiam a Superar;Hermógenes;1;Auto-Realização
0016/04 - 0045/08;s.d.;181.45 / H 555y;Yoga para nervosos;Hermógenes;2;Yoga
0292/17;2003;6_137_046;Yoga para nervosos;Hermógenes;1;Hatha Yoga - Uso terapêutico
1103/86 – 340/90;1978;181.45 / H 555y;Yoga – Paz com a Vida. Logoterapia para Nervosos;Hermógenes;2;Logoterapia para Nervosos
02/83;1981;181.45 / H 555y;Yoga : Caminho para Deus;Hermógenes;1;Poesias  Religiosas / 2-Yoga – Literatura Devocional /3-Yoga - Meditação
359/76;1974;327 / H 556v;Versalhes & Ialta;Hermsdorff_ Guilherme E. ;1;1-Conferência de Ialta /2-Relações internacionais /3-Tratado de Versalles
2970;1933;636.08 / H 555z;Zootecnia Especial;Hermsdorff_ Guilherme Edelberto ;1;Pecuária – Brasil
117/82;1970;R 512.8 / H 558t;Tópico de Álgebra;Hernstein_ I. N. ;1;Álgebra
6183 – 0024/05;1952;880 / H 559h;História;Heródoto;2;Literatura  Grega - Clássica
284/88;1980;981.32 / H 562h;Os Holandeses no Rio Grande;Herôncio_ Paulo ;1;Brasil – História – Holandeses no Rio Grande do Norte
0392/95;1994;J 028.5 / H 656j;Jibobinha;Herrero_ Carlos Edgard;1;Literatura Infanto Juvenil
0316/04 – 0317/04;c. 1975;294 / H 566a;A Arte Cavalheiresca do Arqueiro Zen;Herrigel_ Eugen;2;Zen – Budismo
0319/04;1988;150.195 / H 568q;O Que é Psicanálise;Herrmann_ Fábio;1;Psicanálise
193/80 – 694/88;1961;813 / H 572s;Um Seixo Solitário;Hersey_ John ;2;Literatura Americana – Romance
1207/84;1967;813 / H 572t;Tormenta;Hersey_ John ;1;Literatura Americana – Romance
175/92;c. 1974;940.5 / H 572h;Hiroxima;Hersey_ John ;1;Guerra  Mundial – 1939-1945  - Hiroxima (Japão) – Bombardeio_ 1945
0061/92;1971;R 575.1 / H 572p;Princípios Básicos de Genética Molecular;Herskowitz_ Irwin Herman ;1;Genética Molecular
1347/96 - 0501/08;c. 1982;362.7 / H 582q;A Queda para o Alto;Herzer;2;Menores Abandonados – Brasil – Biografia
390/90 – 1011/96;1987;362.7 / H 582q;A Queda para o Alto;Herzer;2;Menores Abandonados – Brasil – Biografia
7233;s.d.;R 780 / H 582n;Nós e a Música;Herzfeld_ Friedrich ;1;Música
563/85;1977;956.94 / H 582g;A Guerra do Yom Kippur;Herzog_ Gen Div Chain ;1;Israel – História – Guerra - 1973
707/85 ;1973;834 / H 587a;A Arte dos Ociosos;Hesse_ Hermann ;1;Literatura Alemã – Crônicas- Ensaios
735/76;1961;831 / H 587a;Andares;Hesse_ Hermann ;1;Literatura Alemã - Poesia 
318/89 – 608/90;1977;833 / H 587c;Contos;Hesse_ Hermann ;2;Literatura Alemã - Contos
0311/06 - 0355/16;2003;833 / H 587s;Sidarta;Hesse_ Hermann ;2;Literatura Alemã - Romance
0334/89 – 0592/95;1971;833 / H 587d;Debaixo das Rodas;Hesse_ Hermann ;2;Literatura Alemã - Romance
1200/84 – 731/88;1925;8 33 / H 587d;Demian;Hesse_ Hermann ;2;Literatura Alemã - Romance
142/75;1971;833 / H 587 e;Este Lado da Vida;Hesse_ Hermann ;1;Literatura Alemã - Romance
0187/16;1999;833 / H 587f;Felicidade;Hesse_ Hermann ;1;Literatura Alemã - Romance
0646/04;1977;833 / H 587 e;Gertrud;Hesse_ Hermann ;1;Literatura Alemã - Romance
1366/86 – 582/89;1949;833 / H 587k;Knulp;Hesse_ Hermann ;2;Literatura Alemã - Romance
0563/02;1975;833 / H 587k;Knulp;Hesse_ Hermann ;1;Literatura Alemã - Romance
 1187/87;1971;834 / H 587m;Minha Fé;Hesse_ Hermann ;1;Literatura Alemã - Memórias 
800/88;c. 1976;928 / H 587m;Minha Vida;Hesse_ Hermann ;1;Hesse_ Hermann – 1877-1962 - Autobiografia
735/86 – 1051/86 - 0186/16;s.d.;833 / H 587n;Narciso e Goldmund;Hesse_ Hermann ;3;Literatura Alemã - Romance
04/73 – 112/81 – 1089/84 – 912/88;1969;833 / H 587j;O Jogo das Contas de Vidro;Hesse_ Hermann ;4;Literatura Alemã - Romance
940/88;1975;398.943 / H 587L;O Livro das Fábulas;Hesse_ Hermann ;1;Lendas Alemãs
421/73;1971;398.943 / H 587L;O Livro das Fábulas;_;1;Lendas Alemãs
0251/07;c. 1954;398.943 / H 587L;O Livro das Fábulas;Hesse_ Hermann ;1;Lendas Alemãs
970/86 – 0960/97;1955;833 / H 587L;O Lobo da Estepe;Hesse_ Hermann ;2;Literatura Alemã - Romance
924/86;1975;834 / H 587p;Para Ler e Guardar;Hesse_ Hermann ;1;Literatura Alemã - Memórias
0587/04;c.1977;834 / H 587p;Pequenas Alegrias;Hesse_ Hermann ;1;Literatura Alemã - Memórias
762/86;s.d.;833 / H 587p;Pequeno Mundo;Hesse_ Hermann ;1;Literatura Alemã - Romance
733/86 – 0557/02;1972;833 / H 587p;Pequeno Mundo;Hesse_ Hermann ;2;Literatura Alemã - Romance
364/73;1972;833 / H 587p;Peter Comensind;Hesse_ Hermann ;1;Literatura Alemã - Romance
394/73;1972;833 / H 587r;Rosshalde;Hesse_ Hermann ;1;Literatura Alemã - Romance
109/74 – 550/77 – 492/81  – 983/88 – 581/89;1972;833 / H 587s;Sidarta;Hesse_ Hermann ;5;Literatura Alemã - Romance
0571/02;1978;833 / H 587s;Sidarta;Hesse_ Hermann ;1;Literatura Alemã - Romance
0934/03;c. 1950;833 / H 587s;Sidarta;Hesse_ Hermann ;1;Literatura Alemã - Romance
482/83;1970;833 / H 587s;Sidarta;Hesse_ Hermann ;1;Literatura Alemã - Romance
923/86;s.d.;833 / H 587s;Sonho de uma Flauta e Outros Contos;Hesse_ Hermann ;1;Literatura Alemã - Contos
1651/84;1954;833 / H 587t;Transformações;Hesse_ Hermann ;1;Literatura Alemã - Romance
0815/84 – 0611/85 – 0490/88 – 0583/89;1974;833 / H 587v;Viagem ao Oriente;Hesse_ Hermann ;4;Literatura Alemã - Ficção
926/86;s.d.;833 / H 587v;Vivencias;Hesse_ Hermann ;1;Literatura Alemã - Romance
0446/11;2010;808.899282 / H 491d;O dia da caça;Hetzel_ Bia;1;Literatura Juvenil
0163/96;1993;J 028.5 / H 591p;Perigosa Descoberta;Hetzel_ Graziela Bozano ;1;Literatura Juvenil
0865/08;1997;J 028.5 / H 589p;Pesadelo na neve;Hetzel_ Graziela Bozano ;1;Literatura Juvenil
0655/99;1993;J 028.5 / H 591e;O estranho caso da caverna;Hetzel_ Graziela Bozano ;1;Literatura Juvenil
